2024-03-21 13:52:07.657 | INFO     | get_db:./Database/barriers.db | db.py:6
2024-03-21 13:52:38.881 | INFO     | <module>:run | main.py:30
2024-03-21 13:52:38.927 | INFO     | <module>:run | main.py:30
2024-03-21 13:52:43.193 | INFO     | get_db:./Database/barriers.db | db.py:6
2024-03-21 13:53:04.240 | ERROR    | send_hex_code:Error sending hex code '55 03 01 01 00 B8 B4' to 192.168.20.207:52719: [WinError 10060] Une tentative de connexion a échoué car le parti connecté n’a pas répondu convenablement au-delà d’une certaine durée ou une connexion établie a échoué car l’hôte de connexion n’a pas répondu | open_barrier.py:21
2024-03-21 13:53:13.106 | INFO     | get_db:./Database/barriers.db | db.py:6
2024-03-21 13:53:34.149 | ERROR    | send_hex_code:Error sending hex code '55 03 01 01 00 B8 B4' to 192.168.20.207:52719: [WinError 10060] Une tentative de connexion a échoué car le parti connecté n’a pas répondu convenablement au-delà d’une certaine durée ou une connexion établie a échoué car l’hôte de connexion n’a pas répondu | open_barrier.py:21
2024-03-21 13:53:58.325 | INFO     | get_db:./Database/barriers.db | db.py:6
2024-03-21 13:54:04.166 | INFO     | get_db:./Database/barriers.db | db.py:6
2024-03-21 13:54:04.175 | INFO     | send_hex_code:Open '55 03 01 01 00 B8 B4' to 192.168.25.207:52719 | open_barrier.py:17
2024-03-21 13:55:39.883 | INFO     | <module>:run | main.py:30
2024-03-21 13:55:39.925 | INFO     | <module>:run | main.py:30
2024-03-21 13:56:15.316 | INFO     | <module>:run | main.py:30
2024-03-21 13:56:15.364 | INFO     | <module>:run | main.py:30
2024-03-21 13:56:40.246 | INFO     | <module>:run | main.py:30
2024-03-21 13:56:40.288 | INFO     | <module>:run | main.py:30
2024-03-21 13:57:07.500 | INFO     | <module>:run | main.py:30
2024-03-21 13:57:07.545 | INFO     | <module>:run | main.py:30
2024-03-21 13:59:25.134 | INFO     | <module>:run | main.py:30
2024-03-21 13:59:25.458 | INFO     | <module>:run | main.py:30
2024-03-21 14:00:17.359 | INFO     | <module>:run | main.py:30
2024-03-21 14:00:17.419 | INFO     | <module>:run | main.py:30
